"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords"
"Wang, X.; Li, M.; Yao, Y.; Zhu, X.","Wang, Xiang (58098164300); Li, Mingxing (59963670900); Yao, Yu (59651203400); Zhu, Xiaoyang (57909209900)","58098164300; 59963670900; 59651203400; 57909209900","A Study of Factors Influencing Chinese Design Students’ Adoption of AIGC Tools","2025","IEEE Access","0","10.1109/ACCESS.2025.3582599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009073552&doi=10.1109%2FACCESS.2025.3582599&partnerID=40&md5=19a1d8c08b588248a49d1257a1fce1c7","Nanjing Institute of Technology, Nanjing, China; Shanghai University, Shanghai, China; Hongik University, Seoul, South Korea; Sanming University, Sanming, China","Wang, Xiang, Institute of Art and Design, Nanjing Institute of Technology, Nanjing, China; Li, Mingxing, Industrial Design Department, Shanghai University, Shanghai, China; Yao, Yu, Department of Design and Craft, Hongik University, Seoul, South Korea; Zhu, Xiaoyang, School of Art and Design, Sanming University, Sanming, China","As a critical factor in determining a product’s success, users’ willingness to adopt artificial intelligence-generated content (AIGC) tools is a key driver for their sustainable development. As a new productivity tool, AIGC tool adoption by design students is influenced by various factors. However, there is a lack of systematic research on this topic in the academic community, which hinders the sustainable development of AIGC tools. Based on this, the study combines the Unified Theory of Acceptance and Use of Technology (UTAUT) and Task-Technology Fit (TTF) models to construct a dual-perspective model—integrating “technology (external)” and “individual (internal)” dimensions—to investigate the key factors influencing design students’ willingness to adopt AIGC tools in their professional learning. A questionnaire was distributed to Chinese design students, resulting in 517 valid responses. The structural equation model (SEM) analysis yielded the following findings: Characteristics of AIGC Technology (CoAT) and students’ task characteristics positively influence task-technology fit. CoAT positively affect performance expectations (PE) but have no significant impact on effort expectations (EE). Task-technology fit positively influences use behaviors and performance expectations. Additionally, performance expectations, effort expectations, and social influences (SI) significantly enhance willingness to use, which in turn drives use behaviors (UB). Conversely, facilitating conditions (FC) do not affect use behaviors. Based on the empirical findings, this study discusses strategies for enhancing design students’ adoption of AIGC tools and provides recommendations for promoting their adoption and sustainability in design education.eing rejected by search engines. © 2025 Elsevier B.V., All rights reserved.","Artificial intelligence; educational technology; generative models; human computer interaction; user interfaces","Artificial intelligence; Design; Engineering education; Students; Sustainable development; Academic community; Critical factors; Integrating technology; Performance expectations; Perspective models; Productivity tools; Systematic research; Task technology fit; Task-technology fit models; The unified theory of acceptance and use of technology(UTAUT); Tools"
"Qu, M.","Qu, Mingjing (59983259600)","59983259600","A Qualitative Insights of AI Sleep Pods for Stress Relief: Boosting Passenger Well-Being in Chinese Airports","2025","International Journal of Technology and Human Interaction","0","10.4018/IJTHI.381094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008800008&doi=10.4018%2FIJTHI.381094&partnerID=40&md5=3935694afc3cb65fb72c7d1cd643aa4a","Xi'an International University, Xi'an, China","Qu, Mingjing, Xi'an International University, Xi'an, China","This qualitative study explores the effect of artificial intelligence (AI)-managed sleep pods on passenger stress and satisfaction in Chinese airports. Thirty interviews at Xi'an International Airport revealed that personalization, comfort, and privacy were significant qualities to possess. The findings indicate decreased stress, increased well-being, and the crucial role of cultural acceptance and trust in technology. Hence, a theoretical model generated by grounded theory plays the role of linking AI personalization to well-being, implying valuable knowledge for airport operators and AI-service designers. This study highlights the potential for AI to create personalized, stress-reducing environments, potentially offering practical solutions to enhance airport hospitality. © 2025 Elsevier B.V., All rights reserved.","AI-Managed Sleep Pods; Airport Hospitality; Grounded Theory; Passenger Satisfaction; Qualitative Methodology; Stress Reduction","Airport passenger transportation; Artificial intelligence; Sleep research; Stress relief; Airport hospitality; Artificial intelligence-managed sleep pod; Grounded theory; International airport; Passenger satisfaction; Personalizations; Qualitative methodologies; Qualitative study; Stress reduction; Well being; Airports"
"Alvarez, J.I.; Angeles, J.R.","Alvarez, Joel I. (59420441800); Angeles, Jermil R. (59958412700)","59420441800; 59958412700","Khanmigo in the Virtual Classroom: A Strategic Evaluation through SWOT and Acceptability Analysis","2025","Educational Process: International Journal","0","10.22521/edupij.2025.16.272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008787307&doi=10.22521%2Fedupij.2025.16.272&partnerID=40&md5=bedfbc11104118eccb25e67ced01ab9c","Nueva Ecija University of Science and Technology (NEUST), Cabanatuan, Philippines","Alvarez, Joel I., College of Education, Nueva Ecija University of Science and Technology (NEUST), Cabanatuan, Philippines; Angeles, Jermil R., College of Education, Nueva Ecija University of Science and Technology (NEUST), Cabanatuan, Philippines","Background/purpose. This study examines students' perspectives and acceptance of Khanmigo, an AI-driven educational platform, regarding personalized learning, diversity, and participation. As artificial intelligence becomes more integrated into educational settings, it is essential to comprehend students' perceptions and acceptance of these technologies. The main objective is to analyze how perceived strengths, shortcomings, and prospective opportunities affect students' readiness to embrace AI tools in educational environments. Materials/methods. A mixed-methods approach was utilized, including quantitative surveys and qualitative interviews to gather data from students. Quantitative data evaluated overall acceptance and particular attitudes towards AI-assisted learning, whilst qualitative data offered more profound insights into student experiences and apprehensions. Hierarchical regression analysis was employed to ascertain the predictive significance of students' attitudes regarding their acceptance of AI in education. Results. Quantitative results demonstrated a significant degree of acceptability for Khanmigo, with students valuing its capacity to improve comprehension, provide immediate feedback, and facilitate autonomous learning. Qualitative replies emphasized heightened motivation and access to varied educational materials while also expressing concerns over technical constraints, ethical dilemmas, and cultural sensitivity. Regression analysis demonstrated that perceived strengths, shortcomings, and opportunities strongly forecasted students' acceptance of AI in educational settings. Conclusion. The study indicates that successful integration of AI in education necessitates not just utilizing its technology benefits but also mitigating its limits through human monitoring and ethical principles. Future advancements must emphasize emotional intelligence, cultural sensitivity, and usability to enhance the educational advantages of AI while mitigating its disadvantages. © 2025 Elsevier B.V., All rights reserved.","Artificial Intelligence; Education; Personalized Learning; Student Perception; Technology Acceptance",""
"Akter, H.; Ahmed, W.","Akter, Habiba (57215214417); Ahmed, Waqas (57209610354)","57215214417; 57209610354","Reevaluating the UTAUT framework in workforce MOOC adoption","2025","Journal of Workplace Learning","0","10.1108/JWL-10-2024-0247","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008460211&doi=10.1108%2FJWL-10-2024-0247&partnerID=40&md5=827b92922e47f91174054ae764c82e43","Universiti Kuala Lumpur, Kuala Lumpur, Malaysia; KFUPM Business School, Dhahran, Saudi Arabia","Akter, Habiba, School of Business, Universiti Kuala Lumpur, Kuala Lumpur, Malaysia; Ahmed, Waqas, KFUPM Business School, Dhahran, Saudi Arabia","Purpose: The unified theory of acceptance and use of technology (UTAUT) model is increasingly accepted as a strong framework for understanding technology adoption behavior. As distance learning programs, particularly Massive Open Online Courses (MOOCs), gain popularity in corporate environments, their potential to increase employees’ skills development has attracted significant interest. In response, this study reevaluates the UTAUT model to investigate relationships between three factors: performance expectancy (PE), social influence (SI) and facilitating conditions (FC), and employees’ behavioral intention (BI) to adopt MOOCs, with gender acting as a moderator in these relationships. Design/methodology/approach: This research used a quantitative method with a causal research approach. A cross-sectional survey was conducted to collect data from 285 employees, which was analyzed using partial least squares structural equation modeling to validate the hypothesized model. In addition, multigroup analysis (MGA) was conducted to assess the moderating effect of gender. Findings: The results indicate that PE and FC are significant predictors of employees’ BI to use MOOCs, while SI does not significantly impact BI. However, the MGA results show that gender moderates the relationship between SI and BI. Originality/value: This study advances literature by integrating MOOC purchase behavior within the UTAUT framework, positioning it within workplace learning rather than academic settings. The emphasis on purchase intention adds a novel behavioral dimension, while inclusion of gendered moderation contributes to inclusivity-driven models of digital adoption. The findings offer actionable insights for organizations aiming to enhance workforce development through digital learning ecosystems. © 2025 Elsevier B.V., All rights reserved.","Employee learning; Learning and development; Learning behavior; Massive open online courses (MOOCs); MOOCs; Multigroup analysis; PLS-SEM; UTAUT model",""
"Al-Awamleh, H.K.; Omoush, M.M.; Ahmed, R.T.; Assaf, N.; AlQudah, M.Z.; Samara, H.","Al-Awamleh, Hasan Khaled (57216393200); Omoush, Majd Mohammad (57216992764); Ahmed, Rafea Talab (59948995800); Assaf, Nasser Sobhi (58551969900); AlQudah, Mohammad Zakaria (57223976973); Samara, Husni Hasan (58181385000)","57216393200; 57216992764; 59948995800; 58551969900; 57223976973; 58181385000","Innovation in energy management: mapping knowledge development and technological change","2025","International Journal of Energy Sector Management","3","10.1108/IJESM-03-2025-0016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008299534&doi=10.1108%2FIJESM-03-2025-0016&partnerID=40&md5=e6f8b07c5f10e9815d4d8854a01bc75d","Al-Balqa Applied University, Salt, Jordan; Tafila Technical University, Tafila, Jordan; Northern Technical University, Mosul, Iraq; Zarqa University, Zarqa, Jordan; Universitat de València, Valencia, Spain; Putra Business School, Serdang, Malaysia","Al-Awamleh, Hasan Khaled, Business Department, Al-Balqa Applied University, Salt, Jordan; Omoush, Majd Mohammad, Department of Business Administration, Tafila Technical University, Tafila, Jordan; Ahmed, Rafea Talab, Department of Strategic Management, Northern Technical University, Mosul, Iraq; Assaf, Nasser Sobhi, Business Department, Zarqa University, Zarqa, Jordan; AlQudah, Mohammad Zakaria, Department of Accounting and Finance, Universitat de València, Valencia, Spain; Samara, Husni Hasan, Department of Accounting, Putra Business School, Serdang, Malaysia","Purpose: This study aims to explore mechanisms that drive renewable energy transitions; identify key factors such as technology, politics and intermediaries; and at the same time assess the role of demographic factors and Environmental, Social and Governance (ESG) considerations in forming sustainable energy results. Design/methodology/approach: Bibliometric analysis of 495 articles from the Web of Science was carried out and used two theoretical lenses – technological innovations and political framework. Co-citation and thematic analyses mapped the intellectual structure and emphasized critical factors and interactions in receiving renewable energy. Findings: Technological innovations and support policies are central to accelerating energy transitions. Innovation networks and intermediaries increase cooperation and trust, whereas demographic factors and ESG considerations affect consumer behavior and project success. Adaptive administration and inclusive strategies are necessary for lasting progress. Practical implications: Detects defending strategies of innovations and robust intermediary networks to increase the acceptance of renewable energy and provide special knowledge for politicians and industry leaders. Social implications: This study, by emphasizing the inclusivity and factors of ESG, underlines the human dimension of energy transitions and supports fair and sustainable energy systems that solve social needs and expectations. Originality/value: This study uniquely integrates technological and political perspectives with ESG and demographic knowledge and offers a holistic framework for understanding the transitions of renewable energy, different from previous unique analyzes. © 2025 Elsevier B.V., All rights reserved.","and Governance); Bibliometrics; ESG (Environmental; Innovation networks; Policy frameworks; Renewable energy transitions; Social; Technological innovation","Energy policy; Energy transition; Environmental technology; Knowledge management; Population statistics; Renewable energy; Sustainable development; And governance); Bibliometric; Energy transitions; Environmental, social and governance (environmental; Innovation network; Policy framework; Renewable energies; Renewable energy transition; Social; Technological innovation; Consumer behavior"
"Hakeem, M.J.; Sulphey, M.M.","Hakeem, M. J. (58534612200); Sulphey, M. M. (57163740200)","58534612200; 57163740200","An evaluation of factors affecting the acceptance of smart city ICT services in India","2025","Public Administration and Policy","0","10.1108/PAP-07-2024-0114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008251054&doi=10.1108%2FPAP-07-2024-0114&partnerID=40&md5=2b3a6deb49ce0846cddd1392c30b6b36","University of Kerala, Thiruvananthapuram, India; Prince Sattam Bin Abdulaziz University, Al Kharj, Saudi Arabia","Hakeem, M. J., Department of Political Science, University of Kerala, Thiruvananthapuram, India; Sulphey, M. M., College of Business Administration, Prince Sattam Bin Abdulaziz University, Al Kharj, Saudi Arabia","Purpose: Information and communication technologies (ICTs) are essential to city administration, improving quality of life, promoting sustainability, and fostering innovation. The success of smart city projects depends on citizens’ acceptance. This study evaluates the factors influencing citizens’ acceptance of smart city services in India. Design/methodology/approach: Based on the literature review, a framework was developed that integrates theories from Technology Acceptance Model, Theory of Reasoned Action, Social Cognitive Theory, and Trust, with six variables: perceived usefulness, perceived ease of use, self-efficacy, attitude, trust in e-government, and behavioural intention. A survey was conducted with 407 respondents in Kerala, India. Findings: This study found that perceived usefulness, perceived ease of use, and self-efficacy positively impact citizens’ attitudes toward smart city services, which in turn strongly influence their intention to use these services. Attitude plays a key role in the acceptance process by connecting these factors. While trust in e-government directly affects acceptance, its influence on attitude is weaker. Indian citizens tend to focus more on the ease of use and self-efficacy over trust, suggesting that increasing awareness and providing training could be more effective in encouraging acceptance. Originality/value: This study employs structural equation modelling to explore the factors influencing citizens’ acceptance of smart city services, addressing the underexplored area of smart public services in a developing country. © 2025 Elsevier B.V., All rights reserved.","Citizen attitude; India; Self-efficacy; Smart city service; Trust in government; Trust in technology",""
"Du, M.; Li, X.; Wang, X.; Wang, Y.; Xu, C.","Du, Mingyue (58564398900); Li, Xinyi (59941112800); Wang, Xingwei (58088885400); Wang, Yidi (57201996853); Xu, Chunming (59940801300)","58564398900; 59941112800; 58088885400; 57201996853; 59940801300","Exploring adolescents’ acceptance of AI in environmental education: integrating the unified theory of acceptance and use of technology with the 21st century skills framework","2025","Education and Information Technologies","0","10.1007/s10639-025-13643-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007926659&doi=10.1007%2Fs10639-025-13643-0&partnerID=40&md5=fb0b7878ef9b4d84c6707058f8217435","Hunan University, Changsha, China; Zhejiang Normal University, Jinhua, China; Tsinghua University, Beijing, China; China University of Petroleum-Beijing, Beijing, China","Du, Mingyue, Research Institute of Educational Science, Hunan University, Changsha, China; Li, Xinyi, College of Education, Zhejiang Normal University, Jinhua, China; Wang, Xingwei, School of Environment, Tsinghua University, Beijing, China; Wang, Yidi, State Key Laboratory of Petroleum Pollution Control, China University of Petroleum-Beijing, Beijing, China; Xu, Chunming, State Key Laboratory of Petroleum Pollution Control, China University of Petroleum-Beijing, Beijing, China","The rapid advancement of Artificial Intelligence (AI) offers new perspectives for addressing global environmental challenges like climate change. However, its effective application relies on cultivating interdisciplinary talent with expertise in AI and environmental science. Therefore, motivating adolescents to apply AI in environmental protection is critical for achieving integrated progress in both fields. This study, grounded in the Unified Theory of Acceptance and Use of Technology and 21st Century Skills Framework, explores the factors influencing adolescents’ intentions to accept AI in environmental protection. Through an online survey and a subsequent field-based course experiment, 661 survey responses and 200 course questionnaires were collected. Structural equation modeling results indicate that social influence (β = 0.223), facilitating conditions (β = 0.206), effort expectancy (β = 0.196), performance expectancy (β = 0.190), knowledge understanding and application (β = 0.162), and critical thinking (β = 0.157) significantly affect adolescents’ behavioral intention. Creativity (β = 0.087) has a weak positive effect, while communication and collaboration show no significant relationship with intention. Based on these findings, an AI-assisted environmental protection curriculum was developed. The analysis of variance results demonstrated the curriculum’s effectiveness in enhancing skills and perceptions. This study guides educators and policymakers by presenting effective AI-assisted environmental protection curriculum strategies that enhance adolescents' intentions through skill development and technology adoption, promoting sustainable environmental education. It aligns with global educational transformation trends and the AI-powered education agenda, resonating with the United Nations Sustainable Development Goals (SDGs) such as SDG 4 (Quality Education) and SDG 13 (Climate Action). © 2025 Elsevier B.V., All rights reserved.","21st century skills framework; AI-assisted environmental protection curriculum; Behavioral intention; Unified theory of acceptance and use of technology",""
"Louis, D.; Durif, F.; Lombart, C.; Untilov, O.; Charton-Vachet, F.","Louis, Didier (35956427400); Durif, Fabien Nicolas (26655353600); Lombart, Cindy (35956309300); Untilov, Olga (57217846812); Charton-Vachet, Florence (57201460275)","35956427400; 26655353600; 35956309300; 57217846812; 57201460275","Packaging-free product displays: effective leverage to encourage purchases","2025","International Journal of Retail and Distribution Management","0","10.1108/IJRDM-09-2024-0473","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007845699&doi=10.1108%2FIJRDM-09-2024-0473&partnerID=40&md5=129a256ea087c0b0afd93410b845de6d","Nantes Université, Nantes, France; École des Sciences de la Gestion, Montreal, Canada; Audencia, Nantes, France","Louis, Didier, Nantes Université, Nantes, France; Durif, Fabien Nicolas, École des Sciences de la Gestion, Montreal, Canada; Lombart, Cindy, Department of Marketing, Audencia, Nantes, France; Untilov, Olga, Department of Marketing, Audencia, Nantes, France; Charton-Vachet, Florence, Department of Marketing, Audencia, Nantes, France","Purpose: This research investigates customers’ perceptions of and reactions to (i.e. attitude and behavioural intention) packaging-free product displays (for solid and liquid products). Design/methodology/approach: Quantitative in-store research (n = 735) was conducted to understand customers’ perceptions of and reactions to four types of packaging-free product displays: two for solid products (gravity bins (n = 217) and bins with scoops (n = 275)) and two for liquid products (keg dispensers (n = 131) and jerrycans (n = 112)). Findings: This study demonstrates that buyers’ attitude towards using packaging-free product displays are explained by the displays’ perceived playfulness of use and perceived ease of use. The study also indicates that buyers’ attitude towards using packaging-free product displays explain over 60% of their behavioural intention to use these displays. Originality/value: This study conceptualises packaging-free retail as a social, environmental and withdrawal innovation and extends the technology acceptance model to a sustainable context. © 2025 Elsevier B.V., All rights reserved.","Innovation; Packaging-free products; Product displays; Sustainable behaviour",""
"Han, M.; Mustafa, H.; Kharuddin, S.","Han, Mengrong (59926570500); Mustafa, Hasri Abdul Razak (35435553400); Kharuddin, Saira B. (56862170300)","59926570500; 35435553400; 56862170300","AI adoption in accounting education: A UTAUT-based analysis of mediating and moderating mechanisms","2025","Journal of Pedagogical Research","0","10.33902/JPR.202532831","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007196846&doi=10.33902%2FJPR.202532831&partnerID=40&md5=702d97937146d262a6b89cbcb32df587","Universiti Putra Malaysia, Serdang, Malaysia","Han, Mengrong, Universiti Putra Malaysia, Serdang, Malaysia; Mustafa, Hasri Abdul Razak, Universiti Putra Malaysia, Serdang, Malaysia; Kharuddin, Saira B., Universiti Putra Malaysia, Serdang, Malaysia","This study investigates the adoption and usage of artificial intelligence (AI) technologies among Chinese undergraduate accounting students, focusing on the roles of Social Influence (SI), Behavioral Intention (BI), and Actual Usage (AU), while examining the mediating effect of BI and the moderating effect of Voluntariness of Use (VOU). By extending the Unified Theory of Acceptance and Use of Technology (UTAUT) model, it addresses gaps in understanding the social and behavioral factors influencing AI adoption within the educational context. A quantitative research design was employed, utilizing Partial Least Squares Structural Equation Modeling. Data was collected through a self-administered survey distributed via the Wenjuanxing platform, with responses from 362 Chinese undergraduate accounting students analyzed to test the hypothesized relationships. The findings reveal that SI significantly affects both BI and AU, with BI serving as a partial mediator in the SI-AU relationship. However, VOU did not exhibit a significant moderating effect on the SI-BI pathway. These results provide insights into the dual role of SI and the importance of fostering positive attitudes toward AI adoption among students. This study contributes to the literature by extending the UTAUT model in an educational setting, emphasizing the interplay of cultural and social dynamics in influencing AI adoption. It offers actionable recommendations for educators, policymakers, and technology vendors to promote AI integration in accounting education and prepare students for AI-driven professional environments. © 2025 Elsevier B.V., All rights reserved.","Accounting education; Artificial intelligence; Behavioral intention; Chinese undergraduate accounting students; Social influence; Voluntariness of use",""
"Choudhary, S.; Ahuja, Y.","Choudhary, Surbhi (59925051600); Ahuja, Yukti (57208598010)","59925051600; 57208598010","A Nuanced Picture of Young Consumers’ Motivation for Using Intelligent Voice Assistants Through a Curvilinear Analysis Lens","2025","Journal of Global Marketing","0","10.1080/08911762.2025.2511090","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007160554&doi=10.1080%2F08911762.2025.2511090&partnerID=40&md5=9d7c2dc7aa11e39f75c69d33a4a06459","FLAME University, Pune, India; Jagan Institute of Management Studies, New Delhi, India","Choudhary, Surbhi, Department of Marketing, FLAME University, Pune, India; Ahuja, Yukti, Department of Management, Jagan Institute of Management Studies, New Delhi, India","The augmentation in the artificial environment has led to extensive opportunities and challenges for marketers. The research leverages the Unified theory of acceptance and use of technology 2 (UTAUT2) to investigate and bring forward constructs that lead to the usage of Intelligent voice assistants (IVAs) among Gen Z in India. By utilizing a three-stage analysis of Structural Equation Modeling, Artificial Neural Network and Necessary Condition Analysis (SEM-ANN-NCA), the results identify that the consumers (n = 758) corresponding to this cohort are led significantly by hedonic motivation and social influence. The results show that all four basic variables of the UTAUT model had a significant effect on adoption intention. The hedonic motivation variable, taken from UTAUT2 theory, was also found to be significantly influencing the adoption intention. Additionally, the study result demonstrated that perceived anthropomorphism negatively moderates the relationship of adoption intention and actual usage. Based on the necessary condition analysis, it was observed that only the two variables, facilitating conditions and social influence, were found to be mandatory conditions, while the others were sufficient conditions. Interestingly, perceived trust and perceived risk were neither necessary nor sufficient conditions. The study provides enriching insights for human-computer literature and various stakeholders. As voice technology constitutes to be an embedded technology in smart homes, service robots, and interactive intelligent applications, the establishment of determinants of IVAs will also render subtle recommendations and cues to researchers of allied artificial intelligence services. © 2025 Elsevier B.V., All rights reserved.","ANN; Gen Z; Intelligent Voice Assistants; NCA; SEM",""
"Camilleri, C.; Caruana, L.F.; Pulé, S.; Mora-Luis, C.E.; Camilleri, L.","Camilleri, Christian (57315754000); Caruana, Lawrence Farrugia (59226365700); Pulé, Sarah (55346333700); Mora-Luis, Carlos Efren (55970819500); Camilleri, Liberato (25421557500)","57315754000; 59226365700; 55346333700; 55970819500; 25421557500","Investigating the Factors Influencing Augmented Reality Adoption in Blended Learning Environments for Mechanical Engineering Degree Students at the University of Malta","2025","International Journal of Information and Education Technology","0","10.18178/ijiet.2025.15.5.2297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006711240&doi=10.18178%2Fijiet.2025.15.5.2297&partnerID=40&md5=314d26875d352c9a1d95451ca8dab4a6","L-Università ta' Malta, Msida, Malta; Universidad de la Laguna, San Cristobal de La Laguna, Spain; L-Università ta' Malta, Msida, Malta","Camilleri, Christian, Department of Technology and Entrepreneurship Education, L-Università ta' Malta, Msida, Malta; Caruana, Lawrence Farrugia, Department of Technology and Entrepreneurship Education, L-Università ta' Malta, Msida, Malta; Pulé, Sarah, Department of Technology and Entrepreneurship Education, L-Università ta' Malta, Msida, Malta; Mora-Luis, Carlos Efren, Department of Industrial Engineering, Universidad de la Laguna, San Cristobal de La Laguna, Spain; Camilleri, Liberato, Department of Statistics and Operations Research, L-Università ta' Malta, Msida, Malta","This study investigates the acceptance and utilization of Augmented Reality technology among mechanical engineering students in higher education at the University of Malta, utilizing the Unified Theory of Acceptance and Use of Technology model and the Community of Inquiry framework. The research was conducted in three phases: developing lecture scenarios incorporating AR elements, delivering these scenarios, and analyzing the data using structural equation modelling with SPSS and AMOS. Findings reveal that Performance Expectancy, Effort Expectancy, Hedonic Motivation, and Cognitive Presence significantly influence Behavioral Intention, while Social Influence, Habit, and Price Value do not. Moreover, Facilitating Conditions and Behavioral Intention significantly influence Use Behavior. Most notably, Cognitive Presence from the COI framework emerges as a critical element, highlighting the significance of fostering learners’ cognitive engagement to promote AR technology adoption in blended learning environments. © 2025 Elsevier B.V., All rights reserved.","augmented reality; community of inquiry; engineering education; higher education; technology acceptance; Unified Theory of Acceptance and Use of Technology (UTAUT)",""
"Hasan, M.; Asriani; Ahmad, M.I.S.; Supatminingsih, T.; Dinar, M.; Sangkala, M.; Rahim, A.; Hasyim, S.H.; Idris, H.","Hasan, Muhammad (57202606771); Asriani (59411772200); Ahmad, Muhammad Ihsan Said (59460209400); Supatminingsih, Tuti (58927115300); Dinar, Muhammad (57217032257); Sangkala, Masnawaty (57210759730); Rahim, Abd (57211321420); Hasyim, Sitti Hajerah (59697290300); Idris, Hariany (59915755100)","57202606771; 59411772200; 59460209400; 58927115300; 57217032257; 57210759730; 57211321420; 59697290300; 59915755100","Family financial education and financial management behavior among Generation Z: integrating the theory of planned behavior and technology acceptance model to explore the importance of financial literacy and locus of control","2025","Cogent Education","1","10.1080/2331186X.2025.2510067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006573047&doi=10.1080%2F2331186X.2025.2510067&partnerID=40&md5=38692c2ca0ca4161f206903548dd5ad5","Universitas Negeri Makassar, Makassar, Indonesia; Universitas Negeri Makassar, Makassar, Indonesia; Universitas Negeri Makassar, Makassar, Indonesia; Universitas Negeri Makassar, Makassar, Indonesia","Hasan, Muhammad, Department of Economics, Universitas Negeri Makassar, Makassar, Indonesia; Asriani, null, Department of Economics, Universitas Negeri Makassar, Makassar, Indonesia; Ahmad, Muhammad Ihsan Said, Department of Economics, Universitas Negeri Makassar, Makassar, Indonesia; Supatminingsih, Tuti, Department of Economics, Universitas Negeri Makassar, Makassar, Indonesia; Dinar, Muhammad, Department of Economics, Universitas Negeri Makassar, Makassar, Indonesia; Sangkala, Masnawaty, Department of Accounting, Universitas Negeri Makassar, Makassar, Indonesia; Rahim, Abd, Department of Economics, Universitas Negeri Makassar, Makassar, Indonesia; Hasyim, Sitti Hajerah, Department of Business and Entrepreneurship, Universitas Negeri Makassar, Makassar, Indonesia; Idris, Hariany, Department of Accounting, Universitas Negeri Makassar, Makassar, Indonesia","The development of the globalization era has driven economic progress across countries, which impacts how individuals manage their finances to achieve financial well-being. Mediated by financial literacy and locus of control, this study aims to investigate the relationship between family financial education and financial technology with the financial management behavior of Generation Z. This study uses a quantitative approach. Data were obtained from 700 Generation Z student respondents who were determined using the proportional stratified random sampling technique. The analysis in this study used structural equation modeling with partial least squares (SEM-PLS). By combining the theory of planned behavior and the technology acceptance model, this study successfully found that financial literacy and locus of control were able to become mediating variables in the influence of family financial education and financial technology on financial management behavior in Generation Z. The results of the study showed that financial literacy was a more significant component in mediating the relationship between the factors studied. The government, leaders of educational institutions, and related policymakers are expected to help optimize the curriculum and access to financial learning for Generation Z that is integrated with financial education in the family. © 2025 Elsevier B.V., All rights reserved.","Consumer Psychology; Continuing Professional Development; Economic Psychology; Education; Education Policy & Politics; Educational Psychology; Education–Social Sciences; Family financial education; financial literacy; financial management behavior; financial technology; Higher Education; locus of control; Study Skills; Sustainability Education, Training & Leadership; technology acceptance model; theory of planned behavior",""
